"description","docUrl","element","version","prefix","namespace","xsd","xslt","type"
"CFDI 4.0","https://www.sat.gob.mx/consultas/43074/actualizacion-factura-electronica---reforma-fiscal-2022-","Comprobante","4.0","cfdi","http://www.sat.gob.mx/cfd/4","http://www.sat.gob.mx/sitio_internet/cfd/4/cfdv40.xsd","http://www.sat.gob.mx/sitio_internet/cfd/4/cadenaoriginal_4_0/cadenaoriginal_4_0.xslt","Comprobante"
"CFDI 3.3","https://www.sat.gob.mx/consultas/35025/formato-de-factura-electronica-(anexo-20)","Comprobante","3.3","cfdi","http://www.sat.gob.mx/cfd/3","http://www.sat.gob.mx/sitio_internet/cfd/3/cfdv33.xsd","http://www.sat.gob.mx/sitio_internet/cfd/3/cadenaoriginal_3_3/cadenaoriginal_3_3.xslt","Comprobante"
"CFDI 3.2","http://omawww.sat.gob.mx/tramitesyservicios/Paginas/validacion_comprobantes.htm","Comprobante","3.2","cfdi","http://www.sat.gob.mx/cfd/3","http://www.sat.gob.mx/sitio_internet/cfd/3/cfdv32.xsd","http://www.sat.gob.mx/sitio_internet/cfd/3/cadenaoriginal_3_2/cadenaoriginal_3_2.xslt","Comprobante"
"CFDI 3.0","http://omawww.sat.gob.mx/tramitesyservicios/Paginas/validacion_comprobantes.htm","Comprobante","3.0","cfdi","http://www.sat.gob.mx/cfd/3","http://www.sat.gob.mx/sitio_internet/cfd/3/cfdv3.xsd","http://www.sat.gob.mx/sitio_internet/cfd/3/cadenaoriginal_3_0/cadenaoriginal_3_0.xslt","Comprobante"
"CFDI 2.2","http://omawww.sat.gob.mx/tramitesyservicios/Paginas/validacion_comprobantes.htm","Comprobante","2.2","cfd","http://www.sat.gob.mx/cfd/2","http://www.sat.gob.mx/sitio_internet/cfd/2/cfdv22.xsd","http://www.sat.gob.mx/sitio_internet/cfd/2/cadenaoriginal_2_0/cadenaoriginal_2_2.xslt","Comprobante"
"CFDI 2.0","http://omawww.sat.gob.mx/tramitesyservicios/Paginas/validacion_comprobantes.htm","Comprobante","2.0","cfd","http://www.sat.gob.mx/cfd/2","http://www.sat.gob.mx/sitio_internet/cfd/2/cfdv2.xsd","http://www.sat.gob.mx/sitio_internet/cfd/2/cadenaoriginal_2_0/cadenaoriginal_2_0.xslt","Comprobante"
"CFDI 1.0","http://omawww.sat.gob.mx/tramitesyservicios/Paginas/validacion_comprobantes.htm","Comprobante","1.0",,,"http://www.sat.gob.mx/sitio_internet/cfd/1/cfdv1.xsd","http://www.sat.gob.mx/sitio_internet/cfd/1/cadenaoriginal_1_0/cadenaoriginal_1_0.xsl","Comprobante"
"CFDI de Retenciones e Información de Pagos 2.0","https://www.sat.gob.mx/consultas/43074/actualizacion-factura-electronica---reforma-fiscal-2022-","Retenciones","2.0","retenciones","http://www.sat.gob.mx/esquemas/retencionpago/2","http://www.sat.gob.mx/esquemas/retencionpago/2/retencionpagov2.xsd","http://www.sat.gob.mx/esquemas/retencionpago/2/retenciones.xslt","Comprobante"
"CFDI de Retenciones e Información de Pagos 1.0","https://www.sat.gob.mx/consultas/35025/formato-de-factura-electronica-(anexo-20)","Retenciones","1.0","retenciones","http://www.sat.gob.mx/esquemas/retencionpago/1","http://www.sat.gob.mx/esquemas/retencionpago/1/retencionpagov1.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/retenciones.xslt","Comprobante"
"Timbre Fiscal Digital 1.0","https://www.gob.mx/sat/acciones-y-programas/timbre-fiscal-digital?state=published","TimbreFiscalDigital","1.0","tfd","http://www.sat.gob.mx/TimbreFiscalDigital","http://www.sat.gob.mx/sitio_internet/cfd/TimbreFiscalDigital/TimbreFiscalDigital.xsd","http://www.sat.gob.mx/sitio_internet/timbrefiscaldigital/cadenaoriginal_TFD_1_0.xslt","Complemento"
"Timbre Fiscal Digital 1.1","https://www.sat.gob.mx/consultas/35025/formato-de-factura-electronica-(anexo-20)","TimbreFiscalDigital","1.1","tfd","http://www.sat.gob.mx/TimbreFiscalDigital","http://www.sat.gob.mx/sitio_internet/cfd/TimbreFiscalDigital/TimbreFiscalDigitalv11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/TimbreFiscalDigital/cadenaoriginal_TFD_1_1.xslt","Complemento"
"Estado de cuenta bancario",,"EstadoDeCuentaBancario","1.0","ecb","http://www.sat.gob.mx/ecb","http://www.sat.gob.mx/sitio_internet/cfd/ecb/ecb.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ecb/ecb.xslt","Complemento"
"Estado de cuenta de combustibles de monederos electrónicos 1.0","https://www.sat.gob.mx/consulta/21885/genera-tus-facturas-electronicas-con-el-complemento-para-el-estado-de-cuenta-de-combustibles-para-monederos-electronicos","EstadoDeCuentaCombustible","1.0","ecc","http://www.sat.gob.mx/ecc","http://www.sat.gob.mx/sitio_internet/cfd/ecc/ecc.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ecc/ecc.xslt","Complemento"
"Estado de cuenta de combustibles de monederos electrónicos 1.1","https://www.sat.gob.mx/consulta/21885/genera-tus-facturas-electronicas-con-el-complemento-para-el-estado-de-cuenta-de-combustibles-para-monederos-electronicos","EstadoDeCuentaCombustible","1.1","ecc11","http://www.sat.gob.mx/EstadoDeCuentaCombustible","http://www.sat.gob.mx/sitio_internet/cfd/EstadoDeCuentaCombustible/ecc11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/EstadoDeCuentaCombustible/ecc11.xslt","Complemento"
"Estado de cuenta de combustibles de monederos electrónicos 1.2","https://www.sat.gob.mx/consulta/21885/genera-tus-facturas-electronicas-con-el-complemento-para-el-estado-de-cuenta-de-combustibles-para-monederos-electronicos","EstadoDeCuentaCombustible","1.2","ecc12","http://www.sat.gob.mx/EstadoDeCuentaCombustible12","http://www.sat.gob.mx/sitio_internet/cfd/EstadoDeCuentaCombustible/ecc12.xsd","http://www.sat.gob.mx/sitio_internet/cfd/EstadoDeCuentaCombustible/ecc12.xslt","Complemento"
"Donatarias 1.0","https://www.sat.gob.mx/consulta/53870/genera-tus-facturas-electronicas-con-el-complemento-para-donatarias","Donatarias","1.0","donat","http://www.sat.gob.mx/donat","http://www.sat.gob.mx/sitio_internet/cfd/donat/donat.xsd","http://www.sat.gob.mx/sitio_internet/cfd/donat/donat.xslt","Complemento"
"Donatarias 1.1","https://www.sat.gob.mx/consulta/53870/genera-tus-facturas-electronicas-con-el-complemento-para-donatarias","Donatarias","1.1","donat","http://www.sat.gob.mx/donat","http://www.sat.gob.mx/sitio_internet/cfd/donat/donat11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/donat/donat11.xslt","Complemento"
"Divisas 1.0","https://www.sat.gob.mx/consulta/53967/genera-tus-facturas-electronicas-con-el-complemento-para-compraventa-de-divisas","Divisas","1.0","divisas","http://www.sat.gob.mx/divisas","http://www.sat.gob.mx/sitio_internet/cfd/divisas/divisas.xsd","http://www.sat.gob.mx/sitio_internet/cfd/divisas/divisas.xslt","Complemento"
"Otros derechos e impuestos 1.0","https://www.sat.gob.mx/consulta/18002/genera-tus-facturas-electronicas-con-la-informacion-de-otros-derechos-e-impuestos","ImpuestosLocales","1.0","implocal","http://www.sat.gob.mx/implocal","http://www.sat.gob.mx/sitio_internet/cfd/implocal/implocal.xsd","http://www.sat.gob.mx/sitio_internet/cfd/implocal/implocal.xslt","Complemento"
"Leyendas Fiscales 1.0","https://www.sat.gob.mx/consulta/54115/facturas-electronicas-con-leyendas-fiscales","LeyendasFiscales","1.0","leyendasFisc","http://www.sat.gob.mx/leyendasFiscales","http://www.sat.gob.mx/sitio_internet/cfd/leyendasFiscales/leyendasFisc.xsd","http://www.sat.gob.mx/sitio_internet/cfd/leyendasFiscales/leyendasFisc.xslt","Complemento"
"Persona física integrante de coordinado 1.0","https://www.sat.gob.mx/consulta/54191/facturas-electronicas-de-personas-fisicas-integrantes-de-coordinados","PfintegranteCoordinado","1.0","pfic","http://www.sat.gob.mx/pfic","http://www.sat.gob.mx/sitio_internet/cfd/pfic/pfic.xsd","http://www.sat.gob.mx/sitio_internet/cfd/pfic/pfic.xslt","Complemento"
"Turista pasajero extranjero 1.0","https://www.sat.gob.mx/consulta/54366/emite-facturas-electronicas-para-el-manejo-de-datos-de-turistas-o-pasajeros-extranjeros","TuristaPasajeroExtranjero","1.0","tpe","http://www.sat.gob.mx/TuristaPasajeroExtranjero","http://www.sat.gob.mx/sitio_internet/cfd/TuristaPasajeroExtranjero/TuristaPasajeroExtranjero.xsd","http://www.sat.gob.mx/sitio_internet/cfd/TuristaPasajeroExtranjero/TuristaPasajeroExtranjero.xslt","Complemento"
"SPEI de tercero a tercero","https://www.sat.gob.mx/consulta/85904/genera-facturas-electronicas-con-el-complemento-para-el-uso-del-sistema-de-pagos-electronicos-interbancarios","Complemento_SPEI",,"spei","http://www.sat.gob.mx/spei","http://www.sat.gob.mx/sitio_internet/cfd/spei/spei.xsd","http://www.sat.gob.mx/sitio_internet/cfd/spei/spei.xslt","Complemento"
"Sector de ventas al detalle (Detallista)","https://www.sat.gob.mx/consulta/76197/complemento-para-factura-electronica","Detallista",,"detallista","http://www.sat.gob.mx/detallista","http://www.sat.gob.mx/sitio_internet/cfd/detallista/detallista.xsd","http://www.sat.gob.mx/sitio_internet/cfd/detallista/detallista.xslt","Complemento"
"CFDI Registro fiscal 1.0","https://www.sat.gob.mx/consulta/52697/complemento-concepto-para-factura-electronica","CFDIRegistroFiscal","1.0","registrofiscal","http://www.sat.gob.mx/ registrofiscal","http://www.sat.gob.mx/sitio_internet/cfd/cfdiregistrofiscal/cfdiregistrofiscal.xsd","http://www.sat.gob.mx/sitio_internet/cfd/cfdiregistrofiscal/cfdiregistrofiscal.xslt","Complemento"
"Recibo de pago de nómina 1.1","http://omawww.sat.gob.mx/tramitesyservicios/Paginas/complemento_nomina.htm","Nomina","1.1","nomina","http://www.sat.gob.mx/nomina","http://www.sat.gob.mx/sitio_internet/cfd/nomina/nomina11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/nomina/nomina11.xslt","Complemento"
"Recibo de pago de nómina 1.2","https://www.sat.gob.mx/consultas/97722/comprobante-de-nomina","Nomina","1.2","nomina12","http://www.sat.gob.mx/nomina12","http://www.sat.gob.mx/sitio_internet/cfd/nomina/nomina12.xsd","http://www.sat.gob.mx/sitio_internet/cfd/nomina/nomina12.xslt","Complemento"
"Pago en especie 1.0","https://www.sat.gob.mx/consulta/70751/genera-facturas-electronicas-con-el-complemento-por-la-facilidad-de-pago-en-especie","PagoEnEspecie","1.0","pagoenespecie","http://www.sat.gob.mx/pagoenespecie","http://www.sat.gob.mx/sitio_internet/cfd/pagoenespecie/pagoenespecie.xsd","http://www.sat.gob.mx/sitio_internet/cfd/pagoenespecie/pagoenespecie.xslt","Complemento"
"Vales de despensa 1.0","https://www.sat.gob.mx/consulta/43376/genera-facturas-electronicas-con-informacion-del-servicio-de-monedero-electronico-de-vales-de-despensa","ValesDeDespensa","1.0","valesdedespensa","http://www.sat.gob.mx/valesdedespensa","http://www.sat.gob.mx/sitio_internet/cfd/valesdedespensa/valesdedespensa.xsd","http://www.sat.gob.mx/sitio_internet/cfd/valesdedespensa/valesdedespensa.xslt","Complemento"
"Consumo de combustibles 1.1","https://www.sat.gob.mx/consulta/41426/genera-facturas-electronicas-con-informacion-del-consumo-de-combustible-con-monedero-electronico","ConsumoDeCombustibles","1.1","consumodecombustibles11","http://www.sat.gob.mx/ConsumoDeCombustibles11","http://www.sat.gob.mx/sitio_internet/cfd/consumodecombustibles/consumodeCombustibles11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/consumodecombustibles/consumodeCombustibles11.xslt","Complemento"
"Consumo de combustibles 1.0","https://www.sat.gob.mx/consulta/41426/genera-facturas-electronicas-con-informacion-del-consumo-de-combustible-con-monedero-electronico","ConsumoDeCombustibles","1.0","consumodecombustibles","http://www.sat.gob.mx/consumodecombustibles","http://www.sat.gob.mx/sitio_internet/cfd/consumodecombustibles/consumodecombustibles.xsd","http://www.sat.gob.mx/sitio_internet/cfd/consumodecombustibles/consumodecombustibles.xslt","Complemento"
"Aerolíneas 1.0","https://www.sat.gob.mx/consulta/99314/genera-facturas-electronicas-para-el-manejo-de-datos-de-aerolineas-de-pasajeros","Aerolineas","1.0","aerolineas","http://www.sat.gob.mx/aerolineas","http://www.sat.gob.mx/sitio_internet/cfd/aerolineas/aerolineas.xsd","http://www.sat.gob.mx/sitio_internet/cfd/aerolineas/aerolineas.xslt","Complemento"
"Notarios públicos 1.0","https://www.sat.gob.mx/consulta/33510/genera-facturas-electronicas-con-el-complemento-de-notarios","NotariosPublicos","1.0","notariospublicos","http://www.sat.gob.mx/notariospublicos","http://www.sat.gob.mx/sitio_internet/cfd/notariospublicos/notariospublicos.xsd","http://www.sat.gob.mx/sitio_internet/cfd/notariospublicos/notariospublicos.xslt","Complemento"
"Vehículo usado 1.0","https://www.sat.gob.mx/consulta/45480/genera-facturas-electronicas-con-el-complemento-de-vehiculos-usados","VehiculoUsado","1.0","vehiculousado","http://www.sat.gob.mx/vehiculousado","http://www.sat.gob.mx/sitio_internet/cfd/vehiculousado/vehiculousado.xsd","http://www.sat.gob.mx/sitio_internet/cfd/vehiculousado/vehiculousado.xslt","Complemento"
"Servicios parciales de construcción 1.0","https://www.sat.gob.mx/consulta/18158/si-prestas-servicios-parciales-de-construccion,-genera-facturas-electronicas-con-este-complemento","parcialesconstruccion","1.0","servicioparcial","http://www.sat.gob.mx/servicioparcialconstruccion","http://www.sat.gob.mx/sitio_internet/cfd/servicioparcialconstruccion/servicioparcialconstruccion.xsd","http://www.sat.gob.mx/sitio_internet/cfd/servicioparcialconstruccion/servicioparcialconstruccion.xslt","Complemento"
"Renovación y sustitución de vehículos 1.0","https://www.sat.gob.mx/consulta/05041/si-recibes-un-estimulos-por-la-renovacion-del-parque-vehicular-del-autotransporte-genera-tus-facturas-con-complemento-de-renovacion-y-sustitucion-de-vehiculo","renovacionysustitucionvehiculos","1.0","decreto","http://www.sat.gob.mx/renovacionysustitucionvehiculos","http://www.sat.gob.mx/sitio_internet/cfd/renovacionysustitucionvehiculos/renovacionysustitucionvehiculos.xsd","http://www.sat.gob.mx/sitio_internet/cfd/renovacionysustitucionvehiculos/renovacionysustitucionvehiculos.xslt","Complemento"
"Certificado de destrucción 1.0","https://www.sat.gob.mx/consulta/44950/genera-tus-facturas-electronicas-con-el-complemento-de-certificado-de-destruccion","certificadodedestruccion","1.0","destruccion","http://www.sat.gob.mx/certificadodestruccion","http://www.sat.gob.mx/sitio_internet/cfd/certificadodestruccion/certificadodedestruccion.xsd","http://www.sat.gob.mx/sitio_internet/cfd/certificadodestruccion/certificadodedestruccion.xslt","Complemento"
"Obras de arte plásticas y antigüedades 1.0","https://www.sat.gob.mx/consulta/92945/si-realizas-venta-de-obras-de-arte-plasticas-y-antiguedades-genera-tus-facturas-electronicas-con-este-complemento","obrasarteantiguedades","1.0","obrasarte","http://www.sat.gob.mx/arteantiguedades","http://www.sat.gob.mx/sitio_internet/cfd/arteantiguedades/obrasarteantiguedades.xsd","http://www.sat.gob.mx/sitio_internet/cfd/arteantiguedades/obrasarteantiguedades.xslt","Complemento"
